model_name,model_type,train_size,summ_rouge1_f1,summ_rouge2_f1,summ_rougeL_f1,summ_bertscore_f1,title_rouge1_f1,title_rouge2_f1,title_rougeL_f1,title_bertscore_f1,tag_exact_match,tag_jaccard,tag_f1,type_accuracy,perplexity,avg_loss,overall_score,rank,family
llama-3.2-3b-2000,llama-3.2-3b,2000,0.5474907203558899,0.42427165924199395,0.4847525951152679,0.9102731943130493,0.5017723389708223,0.3082669168750441,0.4229279348344592,0.9060336947441101,0.2818181818181818,0.5342322576413485,0.6141035984217803,0.9537037037037037,478.6706629491091,6.171012809684685,0.7051411505223145,1,Llama 3.2
llama-3.2-1b-2000,llama-3.2-1b,2000,0.5646799374132988,0.4432103844504325,0.5043752790270697,0.9161933660507202,0.4351875101302473,0.2595127086125693,0.37132669855128775,0.8932092785835266,0.33636363636363636,0.5494469330431897,0.6191730209778338,0.9444444444444444,692.3928069586964,6.540153434684685,0.7037207764671923,2,Llama 3.2
qwen3-8b-2000,qwen3-8b,2000,0.5598778436144959,0.45397028739706463,0.5059112239386324,0.9154393672943115,0.46769929450888803,0.2863770347572527,0.40455002743121504,0.9025058150291443,0.3,0.5391429188755392,0.6206829414604536,0.9259259259259259,19.932035585560353,2.992328265765766,0.7030672371665617,3,Qwen3
llama-3.2-3b-1500,llama-3.2-3b,1500,0.5562655147457334,0.4284819867290613,0.485646852811786,0.9127917885780334,0.4825487777429755,0.29732562507204685,0.40887485635279974,0.9052248597145081,0.3181818181818182,0.533024727797455,0.6048348368802915,0.9444444444444444,504.12900983309106,6.222832207207207,0.7007435914057546,4,Llama 3.2
qwen3-8b-1500,qwen3-8b,1500,0.547841382858049,0.42278238855909694,0.49120423307434113,0.9125736951828003,0.4703621007829326,0.28897183221889894,0.4061713079957482,0.9036733508110046,0.2818181818181818,0.5051252913752914,0.5888568689312702,0.9351851851851852,18.630095186603175,2.924778293918919,0.6926855162022678,5,Qwen3
qwen3-4b-1500,qwen3-4b,1500,0.5524672764186901,0.43001400034372905,0.4942251995782894,0.9146652221679688,0.47796089540145437,0.29429327897530794,0.4029729329703923,0.9023012518882751,0.2727272727272727,0.4976485635576544,0.5743950998496453,0.9259259259259259,30.05185557875551,3.4029244087837838,0.6878527164440856,6,Qwen3
qwen3-0.6b-2000,qwen3-0.6b,2000,0.540585677574587,0.42356737026117436,0.4808001596018859,0.9092490673065186,0.4529815601136797,0.2595276906949187,0.3790101822649093,0.8938112854957581,0.3090909090909091,0.5104725829725829,0.5824003017184834,0.9351851851851852,2915.5955752416644,7.977829391891892,0.6867575005530244,7,Qwen3
qwen3-4b-2000,qwen3-4b,2000,0.5667771130732104,0.4409724255260183,0.5004764166853264,0.9135873317718506,0.4804392233655738,0.2843712802973468,0.4036407202584407,0.902195930480957,0.24545454545454545,0.48663850715679985,0.5690591701821648,0.9259259259259259,28.140347255529562,3.337204391891892,0.6862330641285462,8,Qwen3
qwen3-8b-1000,qwen3-8b,1000,0.5299133279957461,0.3970811578795823,0.4677189399331414,0.907572865486145,0.4772816857498222,0.27717990554640487,0.39866503902854383,0.9027920961380005,0.3090909090909091,0.5005942458215186,0.5675844921566846,0.9444444444444444,21.085048537529055,3.048564189189189,0.6855551839151668,9,Qwen3
llama-3.2-3b-1000,llama-3.2-3b,1000,0.549806247351027,0.4241369177460944,0.4832657163603352,0.9096379280090332,0.4552466316804527,0.2700429914245446,0.38923872922465064,0.900099515914917,0.2727272727272727,0.4973111692874539,0.5734259334498568,0.9166666666666666,471.1998129444668,6.15528223536036,0.6818132699132919,10,Llama 3.2
qwen3-1.7b-2000,qwen3-1.7b,2000,0.566258418454306,0.4568977096541457,0.512170533758893,0.914857029914856,0.46211267565422187,0.2740268921026584,0.392419400139444,0.8966843485832214,0.2727272727272727,0.46419914038696203,0.528653904132373,0.9444444444444444,33.87094996976008,3.522557713963964,0.680781354990118,11,Qwen3
llama-3.2-1b-1500,llama-3.2-1b,1500,0.5460202863746028,0.4333651666630584,0.48745878969208073,0.9111579656600952,0.45214806600884244,0.2674175036946763,0.3757014862378954,0.898952841758728,0.2909090909090909,0.49160665092483274,0.5586931873830269,0.9166666666666666,610.647572745354,6.414519988738738,0.6781362551820009,12,Llama 3.2
qwen3-1.7b-1500,qwen3-1.7b,1500,0.5328767123105137,0.40074643104731217,0.4621470349167656,0.9042860269546509,0.44358947948197597,0.2589330151628071,0.37451702388261837,0.8987453579902649,0.3,0.48989702216974945,0.5527573436664345,0.9444444444444444,32.86237103826524,3.492328265765766,0.6775782412323172,13,Qwen3
qwen3-0.6b-1500,qwen3-0.6b,1500,0.5387550884679159,0.4173043886584535,0.47426807177116814,0.9078666567802429,0.41404782092632075,0.2375414094811955,0.3471694456380676,0.8927461504936218,0.2545454545454545,0.4536794017631204,0.5182536785469336,0.9351851851851852,2769.771958303555,7.92652027027027,0.6641387679794257,14,Qwen3
qwen3-4b-1000,qwen3-4b,1000,0.5108488788113441,0.36525375731379467,0.43247006782500813,0.8999870419502258,0.4441203520741833,0.2631941281696612,0.3716068900131959,0.8955963253974915,0.20909090909090908,0.4111050817869,0.48701636926049247,0.9444444444444444,32.28237437798748,3.4745213963963963,0.6501959945533515,15,Qwen3
llama-3.2-3b-500,llama-3.2-3b,500,0.5248095509619686,0.40425132054329094,0.4646800321263634,0.9047369956970215,0.41812268542394543,0.23113404797687406,0.3462624189747581,0.8932226896286011,0.20909090909090908,0.4087227166772622,0.48097147950089125,0.9351851851851852,477.15700131706626,6.167845579954955,0.6498522314976037,16,Llama 3.2
qwen3-1.7b-1000,qwen3-1.7b,1000,0.5148882626218783,0.37153756073498834,0.4375589059388269,0.8997349143028259,0.44174673704079165,0.2532226312041648,0.3735114945558036,0.896513044834137,0.18181818181818182,0.4024983240802789,0.4873502480068375,0.9351851851851852,30.641879371465997,3.42236768018018,0.6481108498253465,17,Qwen3
llama-3.2-1b-1000,llama-3.2-1b,1000,0.5301528269078628,0.4032060019900535,0.46842341396648846,0.9067570567131042,0.4106232117088607,0.2311569596883619,0.33873038737082417,0.8906513452529907,0.2,0.3926528474991042,0.46310966545416304,0.9444444444444444,586.3454173456806,6.373909065315315,0.6464685096961993,18,Llama 3.2
qwen3-0.6b-1000,qwen3-0.6b,1000,0.5001158955279824,0.3700831394376005,0.43403450155123374,0.8989250659942627,0.4025516566419148,0.2151293247978365,0.32875833457787546,0.8871974945068359,0.12727272727272726,0.3591503405044779,0.44120039760686686,0.9444444444444444,2657.484121269766,7.885135135135135,0.6304810176458862,19,Qwen3
qwen3-1.7b-500,qwen3-1.7b,500,0.48952672188099383,0.36187473746648663,0.4221128262508451,0.8978064060211182,0.40812010908181695,0.22081652743471045,0.3364007881287075,0.8878297209739685,0.18181818181818182,0.35564134346626797,0.42666895662322063,0.9444444444444444,33.248572183304255,3.504011824324324,0.6266463696533743,20,Qwen3
llama-3.2-1b-500,llama-3.2-1b,500,0.49212809491964743,0.35293816690294694,0.418443707148867,0.896545946598053,0.3949309979496603,0.217966331470963,0.3373179519556371,0.8891655206680298,0.14545454545454545,0.3302878182423637,0.40668892901513215,0.9351851851851852,612.6924981128565,6.417863175675675,0.6174803444500662,21,Llama 3.2
qwen3-0.6b-500,qwen3-0.6b,500,0.4682372567683854,0.3428495543136725,0.4052691302525675,0.8916558623313904,0.39260421468477447,0.20873909052817388,0.32370338613232036,0.8851816654205322,0.14545454545454545,0.3111990534717808,0.3778642317278681,0.9444444444444444,3723.333761789732,8.222374718468469,0.6076756357117151,22,Qwen3
qwen3-4b-500,qwen3-4b,500,0.4663982786465553,0.2941969551608405,0.36733400332001964,0.8853186964988708,0.38536380813898097,0.20508503400742092,0.3140367246342217,0.8865962624549866,0.14545454545454545,0.2948859095450005,0.36575247531340976,0.9351851851851852,28.371536368061054,3.345386402027027,0.594093998447553,23,Qwen3
qwen3-8b-500,qwen3-8b,500,0.1279593513022109,0.03801685879807004,0.09816718287342942,0.7936431765556335,0.43155791803439386,0.2491385836254526,0.35967836492878924,0.8970281481742859,0.24545454545454545,0.40357710610212694,0.4622582972582973,0.9351851851851852,19.812450025840786,2.986310529279279,0.5763545527657676,24,Qwen3
